date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-03,maharashtra,Elephant Yam,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-03,maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-03,maharashtra,French Beans,55,63 - 70,66 - 91,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-03,maharashtra,Garlic,159,183 - 202,191 - 262,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-03,maharashtra,Ginger,111,128 - 141,133 - 183,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-03,maharashtra,Onion Green,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-03,maharashtra,Green Peas,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-03,maharashtra,Ivy Gourd,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-03,maharashtra,Lemon (Lime),71,82 - 90,85 - 117,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-03,maharashtra,Mango Raw,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-03,maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-03,maharashtra,Mushroom,87,100 - 110,104 - 144,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-03,maharashtra,Mustard Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-03,maharashtra,Ladies Finger,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-03,maharashtra,Pumpkin,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-03,maharashtra,Radish,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-03,maharashtra,Ridge Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-03,maharashtra,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-03,maharashtra,Snake Gourd,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-03,maharashtra,Sorrel Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-03,maharashtra,Spinach,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-03,maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-04,maharashtra,Onion Big,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-04,maharashtra,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-04,maharashtra,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-04,maharashtra,Green Chilli,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-04,maharashtra,Beetroot,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-04,maharashtra,Potato,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-04,maharashtra,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-04,maharashtra,Amaranth Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-04,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-04,maharashtra,Ash gourd,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-04,maharashtra,Baby Corn,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-04,maharashtra,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-04,maharashtra,Capsicum,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-04,maharashtra,Bitter Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-04,maharashtra,Bottle Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-04,maharashtra,Butter Beans,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-04,maharashtra,Broad Beans,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-04,maharashtra,Cabbage,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-04,maharashtra,Carrot,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-04,maharashtra,Cauliflower,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-04,maharashtra,Cluster beans,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-04,maharashtra,Coconut,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-04,maharashtra,Colocasia Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-04,maharashtra,Colocasia,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-04,maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-04,maharashtra,Corn,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-04,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-04,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-04,maharashtra,Dill Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-04,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
